,player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url,market_value
3222,392757,631,marc-guehi,Marc Guehi,Cote d'Ivoire,England,2000-07-13,Defender,Centre-Back,Right,182,https://www.transfermarkt.co.uk/marc-guehi/profil/spieler/392757,9000000
3223,442531,631,edouard-mendy,Edouard Mendy,France,Senegal,1992-03-01,Goalkeeper,,Right,197,https://www.transfermarkt.co.uk/edouard-mendy/profil/spieler/442531,22500000
3224,86202,631,antonio-rudiger,Antonio Rudiger,Germany,Germany,1993-03-03,Defender,Centre-Back,Right,190,https://www.transfermarkt.co.uk/antonio-rudiger/profil/spieler/86202,25200000
3225,128898,631,jamal-blackman,Jamal Blackman,Croydon,England,1993-10-27,Goalkeeper,,Right,199,https://www.transfermarkt.co.uk/jamal-blackman/profil/spieler/128898,540000
3226,392771,631,ethan-ampadu,Ethan Ampadu,England,Wales,2000-09-14,Defender,Centre-Back,Right,182,https://www.transfermarkt.co.uk/ethan-ampadu/profil/spieler/392771,13500000
3227,346483,631,mason-mount,Mason Mount,England,England,1999-01-10,Midfield,Attacking Midfield,Right,178,https://www.transfermarkt.co.uk/mason-mount/profil/spieler/346483,67500000
3228,488362,631,conor-gallagher,Conor Gallagher,England,England,2000-02-06,Midfield,Central Midfield,Right,182,https://www.transfermarkt.co.uk/conor-gallagher/profil/spieler/488362,13500000
3229,225083,631,ngolo-kante,Ngolo Kante,France,France,1991-03-29,Midfield,Defensive Midfield,Right,168,https://www.transfermarkt.co.uk/ngolo-kante/profil/spieler/225083,49500000
3230,181778,631,emerson,Emerson,Brazil,Italy,1994-08-03,Defender,Left-Back,Left,181,https://www.transfermarkt.co.uk/emerson/profil/spieler/181778,10800000
3231,196948,631,andreas-christensen,Andreas Christensen,Denmark,Denmark,1996-04-10,Defender,Centre-Back,Right,188,https://www.transfermarkt.co.uk/andreas-christensen/profil/spieler/196948,27000000
3232,112515,631,marcos-alonso,Marcos Alonso,Spain,Spain,1990-12-28,Defender,Left-Back,Left,188,https://www.transfermarkt.co.uk/marcos-alonso/profil/spieler/112515,10800000
3233,316125,631,ben-chilwell,Ben Chilwell,England,England,1996-12-21,Defender,Left-Back,Left,178,https://www.transfermarkt.co.uk/ben-chilwell/profil/spieler/316125,40500000
3234,29241,631,thiago-silva,Thiago Silva,Brazil,Brazil,1984-09-22,Defender,Centre-Back,Right,183,https://www.transfermarkt.co.uk/thiago-silva/profil/spieler/29241,2700000
