,player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url,league_id,market_value,games,minutes_played,goals,assists,wins,draws,losses,yellow_cards,red_cards,age,club_name
480,283001,167,noah-joel-sarenren-bazee,Noah Joel Sarenren Bazee,Germany,Germany,1996-08-21,Attack,Right Winger,Right,183,https://www.transfermarkt.co.uk/noah-joel-sarenren-bazee/profil/spieler/283001,L1,900000,5,33,0,1,2,0,3,1,0,24,Fc Augsburg
481,452392,3,robert-voloder,Robert Voloder,Germany,Germany,2001-05-09,Defender,Centre-Back,Left,185,https://www.transfermarkt.co.uk/robert-voloder/profil/spieler/452392,L1,225000,0,0,0,0,0,0,0,0,0,20,1 Fc Koln
482,193900,3,marius-wolf,Marius Wolf,Germany,Germany,1995-05-27,Attack,Right Winger,Right,187,https://www.transfermarkt.co.uk/marius-wolf/profil/spieler/193900,L1,3600000,31,2562,2,3,7,9,15,3,0,26,1 Fc Koln
483,146164,3,max-meyer,Max Meyer,Germany,Germany,1995-09-18,Midfield,Attacking Midfield,Right,173,https://www.transfermarkt.co.uk/max-meyer/profil/spieler/146164,L1,1350000,10,346,0,0,3,1,6,0,0,25,1 Fc Koln
484,613192,3,jens-castrop,Jens Castrop,Germany,Germany,2003-07-29,Midfield,Attacking Midfield,Right,177,https://www.transfermarkt.co.uk/jens-castrop/profil/spieler/613192,L1,180000,0,0,0,0,0,0,0,0,0,17,1 Fc Koln
485,160968,3,benno-schmitz,Benno Schmitz,Germany,Germany,1994-11-17,Defender,Right-Back,Right,182,https://www.transfermarkt.co.uk/benno-schmitz/profil/spieler/160968,L1,720000,12,413,0,1,5,5,2,0,0,26,1 Fc Koln
486,63022,167,jan-moravek,Jan Moravek,CSSR,Czech Republic,1989-11-01,Midfield,Central Midfield,Right,180,https://www.transfermarkt.co.uk/jan-moravek/profil/spieler/63022,L1,450000,5,269,0,0,1,1,3,0,0,31,Fc Augsburg
487,683571,3,tolu-arokodare,Tolu Arokodare,Lagos,Nigeria,2000-11-23,Attack,Centre-Forward,Right,197,https://www.transfermarkt.co.uk/tolu-arokodare/profil/spieler/683571,L1,720000,10,104,0,0,2,0,8,0,0,20,1 Fc Koln
488,106270,3,florian-kainz,Florian Kainz,Austria,Austria,1992-10-24,Attack,Left Winger,Right,176,https://www.transfermarkt.co.uk/florian-kainz/profil/spieler/106270,L1,3150000,8,451,1,0,3,1,4,1,0,28,1 Fc Koln
489,272812,3,kingsley-ehizibue,Kingsley Ehizibue,Germany,Nigeria,1995-05-25,Defender,Right-Back,Right,189,https://www.transfermarkt.co.uk/kingsley-ehizibue/profil/spieler/272812,L1,1530000,21,1139,0,1,4,5,12,5,0,26,1 Fc Koln
490,338629,3,sebastiaan-bornauw,Sebastiaan Bornauw,Belgium,Belgium,1999-03-22,Defender,Centre-Back,Right,191,https://www.transfermarkt.co.uk/sebastiaan-bornauw/profil/spieler/338629,L1,10800000,24,2082,1,1,6,7,11,3,0,22,1 Fc Koln
